Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0853234589153477,-0.00456620307834871,0.503883217563867,0,0,0,47.1368197210407,0.635551727685094,-0.00010503393407522,0.000354701779896601,0.848345964222631,0.000209291555555924,0.349942912225356,0,0,0,0,0,0,package://robot_new/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_new/meshes/base_link.STL,,base_link^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
straight_link,0.0746328194453467,-4.43488212877874E-05,0.109341275839783,0,0,0,2.24720061536337,0.00283535108172948,1.93813863242218E-06,5.7214225877549E-05,0.00308719366236633,-3.34734689718334E-06,0.00306293765577832,0,0,0,0,0,0,package://robot_new/meshes/straight_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_new/meshes/straight_link.STL,,link_straight^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_straight,straight_axis,straight_joint,prismatic,0.339,-4.2753E-05,0.8055,-3.1416,0,0,base_link,0,0,1,100,1,0,0.61,,,,,,,,
link_1,-0.0211077219241808,-2.09376991744392E-07,0.0728138741690489,0,0,0,0.59354182872541,0.00118165897467299,5.10321085586566E-09,0.000211204348246055,0.00126611450759533,-6.41081922139871E-09,0.000561319947778357,0,0,0,0,0,0,package://robot_new/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_new/meshes/link_1.STL,,link_1^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_1,arm_axis_1,joint_1,revolute,0.224,-4.2753E-05,0.1078,-1.5708,0,-1.5708,straight_link,0,0,1,100,3.14,-3.1066,3.1066,,,,,,,,
link_2,-0.0763141702598996,2.27534866947821E-07,0.00542609705306318,0,0,0,0.431790686304177,0.000268635458527811,-6.44810839538401E-09,0.000118397937688269,0.000673387522476438,-2.68828176048139E-09,0.000685020393264235,0,0,0,0,0,0,package://robot_new/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_new/meshes/link_2.STL,,link_2^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_2,arm_axis_2,joint_2,revolute,0.016761,0,0.098,3.1416,1.5708,0,link_1,0,0,1,100,3.14,-2.2689,2.2689,,,,,,,,
link_3,-0.023544066499335,-9.16186790766993E-07,0.0791524352306201,0,0,0,0.431326912120833,0.000730369021915824,1.24164383295518E-10,0.000142625095265776,0.00079434805420184,1.3883730370504E-08,0.000315062535140043,0,0,0,0,0,0,package://robot_new/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_new/meshes/link_3.STL,,link_3^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_3,arm_axis_3,joint_3,revolute,-0.1495,0,0.016461,3.1416,1.5708,0,link_2,0,0,1,100,3.9269,-3.1066,3.1066,,,,,,,,
link_4,-0.0596780855569812,2.86494557621975E-06,0.00268788894619743,0,0,0,0.289209424925076,0.000127708566575012,-1.41305559904305E-08,5.25240138321317E-05,0.000311675427914977,1.68679182602617E-08,0.000316894234133134,0,0,0,0,0,0,package://robot_new/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_new/meshes/link_4.STL,,link_4^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_4,arm_axis_4,joint_4,revolute,0.013236,0,0.1065,3.1416,1.5708,0,link_3,0,0,1,100,3.9269,-2.3561,2.3561,,,,,,,,
link_5,-0.0180437595528539,-1.94456354907224E-07,0.0629618376646066,0,0,0,0.239430995354712,0.000262735522974815,2.15085313089612E-09,4.42407905618087E-05,0.000285949764526288,-1.40228122024329E-09,0.000119899055725703,0,0,0,0,0,0,package://robot_new/meshes/link_5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_new/meshes/link_5.STL,,link-5^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_5,arm_axis_5,joint_5,revolute,-0.1255,0,0.013236,3.1416,1.5708,0,link_4,0,0,1,100,3.9269,-3.1066,3.1066,,,,,,,,
link_6,-0.095840467190546,-0.0152609198569158,0.00614372307936539,0,0,0,0.383184467488494,0.000216926681826416,-5.67223960720067E-07,7.76415085290278E-05,0.000434250962716829,1.51758886264702E-07,0.000384347182584428,0,0,0,0,0,0,package://robot_new/meshes/link_6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_new/meshes/link_6.STL,,link_6^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-2,coordinate_link_6,arm_axis_6,joint_6,revolute,0.012436,0,0.0845,3.1416,1.5708,0,link_5,0,0,1,100,3.9269,-2.234,2.234,,,,,,,,
link_7,-1.35762028020681E-05,1.48608693573138E-07,-0.124596038342826,0,0,0,0.31320675098834,0.000142245807794029,1.31858237931339E-07,6.69198299801094E-09,0.000212259267946983,-1.98796545042765E-10,0.000159717668940879,0,0,0,0,0,0,package://robot_new/meshes/link_7.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_new/meshes/link_7.STL,,link_7^JHRD25001 基于具身智能技术的特高压带电作业通用检修机器人-1,coordinate_link_7,arm_axis_7,joint_7,revolute,-0.3378,0,0.012436,3.1416,1.5708,0,link_6,0,0,1,100,3.9269,-6.2831,6.2831,,,,,,,,
left_grep,0.010214,-0.01811,-0.0073438,0,0,0,0.024886,1.3386E-05,9.3508E-07,3.8551E-07,3.3329E-06,-2.3204E-07,1.0902E-05,0,0,0,0,0,0,package://robot_new/meshes/left_grep.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://robot_new/meshes/left_grep.STL,,JHRD25001.06.10 销钉夹爪-2,coordinate_grep_left,grep_axis_l,left_grep_joint,prismatic,0.034976,-0.012071,-0.06,-1.5708,0.00013059,1.5688,link_7,0,0,1,100,1,0,0.0251,,,,,,,,
